hexID,count,MAJ_CHIMN,MAJ_FOUND,MAJ_NO,MAJ_PORCH,MAJ_RFSWY,MAJ_RFTILE,MAJ_ROT,MAJ_SIDING,MAJ_WINDDO,MIN_CHIMN,MIN_FOUND,MIN_GUTTER,MIN_INSUL,MIN_MISSID,MIN_NO,MIN_PAINT,MIN_PORCH,MIN_PORJUNK,MIN_RAILS,MIN_RFSWY,MIN_RFTILE,MIN_ROT,MIN_UNFINW,MIN_WINDDO,MIN_WNDPAN,YARD_GRCOV,YARD_MAJCL,YARD_MOW,YARD_OVRGR,YARD_SATIS,YARD_VHINOP,YARD_VHPARK
151,3,0,0,100,0,0,0,0,0,0,0,0,0,0,67,33,0,0,33,0,0,0,0,0,67,0,0,33,0,0,67,0,0
152,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,67,0,33,33,33,67,67,33,0,0,33,0,33
153,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,50,12,12,0,0,0,25,0,12,0,75,0,0
154,4,0,25,75,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,50,25,0,75,0,25,0,25,25,0,0,75,0,0
158,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,67,33,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,0
161,4,0,0,75,0,0,0,0,25,0,0,0,0,0,25,50,50,25,0,0,0,25,25,0,0,0,25,0,0,0,75,0,0
162,4,0,0,100,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,0,0
163,4,0,0,100,0,0,0,0,0,0,0,0,0,0,25,25,50,0,25,25,50,0,25,0,0,0,25,0,0,0,100,0,0
164,3,0,0,100,0,0,0,0,0,0,33,0,0,0,67,33,33,0,0,0,33,0,0,0,33,0,33,0,0,33,100,0,33
165,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
171,5,0,0,100,0,0,0,0,0,0,0,20,0,0,0,60,0,0,20,0,0,20,40,20,0,0,0,0,0,0,60,0,0
172,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
173,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,75,0,25,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0
174,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
175,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
176,6,0,0,83,0,0,0,17,0,0,17,0,17,0,0,33,17,0,0,17,17,0,17,17,0,0,17,0,0,0,83,0,0
177,9,0,0,100,0,0,0,0,0,0,0,0,0,0,22,44,22,0,0,11,33,0,11,0,0,0,22,0,11,0,67,0,11
178,3,0,0,67,0,0,0,33,0,0,0,0,33,0,0,33,67,33,0,0,0,0,0,0,33,0,33,0,0,0,67,0,0
182,2,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,100,0,0
183,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0,50,0,0
184,1,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,100,0,0
185,2,0,0,50,0,0,0,0,50,0,50,0,50,0,50,0,100,0,0,50,0,0,50,50,0,50,50,0,0,0,50,50,0
186,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0
187,5,0,0,80,20,0,0,0,20,0,20,20,0,0,0,40,60,20,0,0,40,40,0,20,0,20,20,0,20,0,80,0,0
188,7,0,0,100,0,0,0,0,0,0,0,14,14,0,14,57,14,0,0,14,43,29,0,14,0,0,0,0,0,0,100,0,0
189,13,0,8,92,0,8,0,0,0,0,8,0,0,0,8,62,15,0,0,15,8,0,15,0,8,8,15,8,8,8,92,0,0
190,5,0,0,80,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,20
195,5,0,0,80,0,0,20,0,20,0,0,0,0,0,40,20,60,20,20,20,0,20,80,0,0,0,20,0,0,20,40,0,0
196,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
197,9,0,0,100,0,0,0,0,0,0,0,0,0,0,22,56,11,0,0,11,22,0,0,0,0,11,0,0,0,0,100,0,0
198,11,0,0,100,0,0,0,0,0,0,0,0,0,0,9,82,0,0,0,0,0,0,9,0,0,0,18,0,0,0,82,0,9
199,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,88,12,0,0,0,0,0,0,0,0,0,25,0,12,0,62,0,0
200,3,0,0,67,0,33,0,0,0,0,0,33,0,0,33,0,0,0,0,0,67,33,33,33,0,33,33,0,0,0,67,0,0
201,6,0,0,67,0,0,0,0,0,0,0,0,0,0,17,17,33,0,17,0,33,0,17,0,0,0,33,33,17,33,17,0,17
202,11,0,0,82,0,9,0,9,0,0,0,0,9,0,9,45,27,0,27,9,18,0,18,9,9,0,18,18,0,0,73,0,0
206,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0
207,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0
208,10,0,0,100,0,0,0,0,0,0,10,10,0,0,10,50,30,10,0,20,0,10,10,0,0,0,10,0,0,0,90,0,0
209,16,0,0,100,0,0,0,0,0,0,0,0,0,0,6,75,6,0,0,0,12,0,12,0,0,0,12,0,0,0,88,0,0
210,12,0,0,92,0,8,0,0,0,0,0,0,0,0,8,83,8,8,8,0,0,0,8,0,0,0,8,0,0,0,92,0,0
211,4,25,25,75,25,25,25,0,25,25,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0
212,3,0,0,100,0,0,0,0,0,0,33,33,0,0,0,0,33,0,33,0,0,33,67,67,0,0,0,67,33,33,33,33,0
213,4,0,0,50,0,0,0,50,0,25,0,0,0,0,25,25,75,25,0,0,25,25,25,0,25,0,25,25,0,0,50,25,0
214,8,0,0,75,0,0,0,0,0,12,12,0,12,0,25,25,50,0,0,12,12,25,25,0,0,12,25,12,0,0,62,0,0
219,11,0,0,100,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,9,0,0,0,0,0,0,0,91,0,18
220,13,0,0,100,0,0,0,0,0,0,0,0,0,0,0,62,38,0,0,0,8,0,0,0,0,0,0,0,15,0,85,0,0
221,8,0,0,100,0,0,0,0,0,0,0,0,0,0,12,75,25,0,0,0,0,0,0,0,0,0,0,0,12,0,75,0,12
222,15,0,0,100,0,0,0,0,0,0,0,0,0,0,7,87,0,0,0,0,0,7,0,0,0,0,7,0,0,0,93,0,0
223,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,20,0,0,0,0,0,0,0,100,0,0
224,3,0,0,33,33,33,0,0,0,0,0,0,67,0,0,0,0,33,0,67,33,33,100,0,67,33,33,0,0,0,100,0,0
225,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,50,0,0,0,0,0,50,0,0,0,0,100,0,0
226,3,0,0,100,0,0,0,0,0,0,0,67,33,0,33,0,33,0,0,0,0,33,33,33,0,33,33,0,0,0,67,0,0
227,33,3,0,91,3,0,3,3,3,6,6,3,3,0,6,79,12,6,3,3,6,6,9,3,3,12,3,9,6,0,85,0,0
231,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
232,1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,100,0,100,100,0,100,100,100,0,0,0,0,0,0,0
234,1,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0
235,6,0,0,100,0,0,0,0,0,0,0,0,0,0,17,50,17,0,0,17,17,17,0,17,0,0,17,0,0,0,83,0,0
236,3,0,0,100,0,0,0,0,0,0,33,0,0,0,33,33,67,0,0,33,33,33,67,33,33,33,33,33,0,0,67,0,0
237,4,0,0,75,0,25,0,0,0,0,0,25,0,0,25,0,25,0,0,25,50,25,25,0,50,0,25,0,0,25,50,0,0
238,7,0,0,100,0,0,0,0,0,0,0,0,0,0,29,71,0,0,0,0,0,0,0,0,0,0,14,14,0,0,71,0,14
239,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
244,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
247,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
248,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,100,0,100
249,4,0,0,100,0,0,0,0,0,0,25,0,25,0,0,0,75,25,0,0,75,0,0,25,0,0,75,0,0,0,75,0,25
