ID,long,lat,proptype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Pic1,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,Landlord
sample_0777,-83.38415956,33.95398679,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2162280?filename=communitymapuga/attachments/1469891833679.jpg,0,0,0,Standard,0,0
sample_0778,-83.39218115,33.95415092,Single family (garage),OCCUP,two,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2162281?filename=communitymapuga/attachments/1469891917059.jpg,1,0,1,Standard,0,0
sample_0779,-83.38062523,33.95251486,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2162282?filename=communitymapuga/attachments/1469891999144.jpg,0,0,0,Standard,1,0
sample_0780,-83.38328859,33.95388653,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2162283?filename=communitymapuga/attachments/1469892102975.jpg,0,0,0,Standard,0,1
sample_0781,-83.39356034,33.95406115,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Good,http://classic.ona.io/api/v1/files/2162284?filename=communitymapuga/attachments/1469892228507.jpg,0,0,0,Standard,2,1
sample_0855,-83.38277869,33.95088342,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/3306716?filename=communitymapuga/attachments/1482246436012.jpg,0,0,0,Standard,0,0
sample_0785,-83.3927933,33.95402122,Apartment,OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2208012?filename=communitymapuga/attachments/1470944775231.jpg,0,0,0,Standard,0,0
sample_0786,-83.39279772,33.95423649,Apartment,OCCUP,one,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Poor,http://classic.ona.io/api/v1/files/2208013?filename=communitymapuga/attachments/1470945045089.jpg,4,0,4,Dilapidated,1,1
sample_0787,-83.39730605,33.95428674,Apartment,OCCUP,one,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Poor,http://classic.ona.io/api/v1/files/2208014?filename=communitymapuga/attachments/1470945227748.jpg,3,0,3,Substandard,1,0
sample_0788,-83.39271175,33.95439944,Apartment,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2208016?filename=communitymapuga/attachments/1470942820880.jpg,0,0,0,Standard,0,0
sample_0789,-83.39022389,33.95420893,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2214171?filename=communitymapuga/attachments/1469890735361.jpg,0,0,0,Standard,0,0
sample_0790,-83.39256702,33.95407596,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2214646?filename=communitymapuga/attachments/1470998787730.jpg,0,0,0,Standard,0,0
sample_0791,-83.39463223,33.95436513,Single family (no garage),Vacant1,one,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Poor,http://classic.ona.io/api/v1/files/2216602?filename=communitymapuga/attachments/1471025947024.jpg,5,2,7,Dilapidated,1,0
sample_0792,-83.38267445,33.95416936,Apartment,OCCUP,two,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2230146?filename=communitymapuga/attachments/1471374224331.jpg,1,0,1,Dilapidated,0,0
sample_0793,-83.39089785,33.95460545,Single family (garage),OCCUP,one,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2237060?filename=communitymapuga/attachments/1471377152484.jpg,3,1,4,Substandard,0,0
sample_0794,-83.39229347,33.95462048,Single family (no garage),OCCUP,one,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2237062?filename=communitymapuga/attachments/1471378398053.jpg,5,1,6,Substandard,0,0
sample_0795,-83.38706363,33.95436956,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2237064?filename=communitymapuga/attachments/1471378741193.jpg,0,0,0,Dilapidated,1,0
sample_0796,-83.39575896,33.95450093,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2237065?filename=communitymapuga/attachments/1471454447742.jpg,2,0,2,Standard,0,1
sample_0797,-83.39662007,33.95428438,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343957?filename=communitymapuga/attachments/1473699368649.jpg,0,0,0,Substandard,0,0
sample_0798,-83.3941758,33.95440836,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343958?filename=communitymapuga/attachments/1473706367712.jpg,1,0,1,Standard,0,0
sample_0799,-83.39748134,33.95404398,Single family (no garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343959?filename=communitymapuga/attachments/1473699637304.jpg,0,0,0,Standard,0,0
sample_0800,-83.39301632,33.95432651,Single family (garage),Vacant1,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343962?filename=communitymapuga/attachments/1473699738423.jpg,0,0,0,Standard,0,0
sample_0801,-83.39223205,33.95430873,Single family (no garage),OCCUP,one,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343964?filename=communitymapuga/attachments/1473699841045.jpg,3,0,3,Standard,0,0
sample_0802,-83.39056369,33.95462687,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343965?filename=communitymapuga/attachments/1473699981496.jpg,1,0,1,Substandard,0,0
sample_0803,-83.39630794,33.95455559,Single family (garage),OCCUP,one,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343967?filename=communitymapuga/attachments/1473700105913.jpg,1,0,1,Standard,0,1
sample_0804,-83.39371875,33.95465094,Duplex,OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343970?filename=communitymapuga/attachments/1473700603550.jpg,0,0,0,Standard,0,0
sample_0805,-83.39149096,33.95383266,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343971?filename=communitymapuga/attachments/1473700721428.jpg,1,0,1,Standard,0,0
sample_0806,-83.3901674,33.95367951,Single family (garage),OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343973?filename=communitymapuga/attachments/1473700926180.jpg,1,0,1,Standard,0,0
sample_0807,-83.39349726,33.95436117,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343975?filename=communitymapuga/attachments/1473700982202.jpg,0,0,0,Standard,0,0
sample_0808,-83.39791159,33.95434756,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343978?filename=communitymapuga/attachments/1473701089421.jpg,0,0,0,Standard,0,1
sample_0809,-83.38572097,33.9537222,Single family (no garage),Vacant1,two,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2343980?filename=communitymapuga/attachments/1473701682430.jpg,2,1,3,Substandard,0,1
sample_0810,-83.39287474,33.95445203,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Fair,http://classic.ona.io/api/v1/files/2343981?filename=communitymapuga/attachments/1473704045076.jpg,2,0,2,Substandard,1,0
sample_0811,-83.39714955,33.95443606,Single family (garage),OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Fair,http://classic.ona.io/api/v1/files/2343982?filename=communitymapuga/attachments/1473704150450.jpg,2,0,2,Substandard,1,0
sample_0812,-83.38895022,33.95412301,Single family (garage),OCCUP,one,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343983?filename=communitymapuga/attachments/1473704364313.jpg,2,0,2,Substandard,0,0
sample_0813,-83.3964578,33.95442665,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Fair,http://classic.ona.io/api/v1/files/2343985?filename=communitymapuga/attachments/1473704428437.jpg,0,0,0,Substandard,1,0
sample_0814,-83.39767167,33.95464386,Vacant,Vacant1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2343986?filename=communitymapuga/attachments/1473704503460.jpg,0,0,0,Standard,0,0
